autor1,autor2,nProyectos
Macaya Danús: Javier,Melero Abaroa: Patricio,37
Gutiérrez Gálvez: Hugo,Teillier Del Valle: Guillermo,37
Norambuena Farías: Iván,Ulloa Aguillón: Jorge,37
Arriagada Macaya: Claudio,Carvajal Ambiado: Loreto,37
Gahona Salazar: Sergio,Molina Oliva: Andrea,37
Morales Muñoz: Celso,Trisotti Martínez: Renzo,37
Alvarez-Salamanca Ramírez: Pedro Pablo,Hernández Hernández: Javier,37
Andrade Lara: Osvaldo,Saffirio Espinoza: René,37
Núñez Urrutia: Paulina,Paulsen Kehr: Diego,37
Molina Oliva: Andrea,Urrutia Soto: Osvaldo,37
Paulsen Kehr: Diego,Verdugo Soto: Germán,37
Sandoval Plaza: David,Urrutia Bonilla: Ignacio,37
Campos Jara: Cristián,Farcas Guendelman: Daniel,36
Urrutia Bonilla: Ignacio,Urrutia Soto: Osvaldo,36
Kort Garriga: Issa Farid,Morales Muñoz: Celso,36
Berger Fett: Bernardo,Verdugo Soto: Germán,36
Gahona Salazar: Sergio,Lavín León: Joaquín,36
Becker Alvear: Germán,Berger Fett: Bernardo,36
Gutiérrez Gálvez: Hugo,Núñez Arancibia: Daniel,36
Hasbún Selume: Gustavo,Melero Abaroa: Patricio,36
Hernando Pérez: Marcela,Letelier Norambuena: Felipe,36
Hasbún Selume: Gustavo,Kort Garriga: Issa Farid,36
Carmona Soto: Lautaro,Gutiérrez Gálvez: Hugo,36
Gahona Salazar: Sergio,Urrutia Soto: Osvaldo,36
Chahuán Chahuán: Francisco,Prokurica Prokurica: Baldo,36
Fuenzalida Figueroa: Gonzalo,Monckeberg Bruner: Cristián,36
Arriagada Macaya: Claudio,Espinosa Monardes: Marcos,36
Teillier Del Valle: Guillermo,Vallejo Dowling: Camila,36
Kast Rist: José Antonio,Melero Abaroa: Patricio,35
Melero Abaroa: Patricio,Morales Muñoz: Celso,35
Norambuena Farías: Iván,Urrutia Bonilla: Ignacio,35
Farcas Guendelman: Daniel,Fuenzalida Figueroa: Gonzalo,35
Becker Alvear: Germán,Monckeberg Bruner: Cristián,35
Coloma Alamos: Juan Antonio,Melero Abaroa: Patricio,35
Fuenzalida Figueroa: Gonzalo,Rathgeb Schifferli: Jorge,35
García García: René Manuel,Monckeberg Bruner: Cristián,34
Becker Alvear: Germán,Verdugo Soto: Germán,34
Espinosa Monardes: Marcos,Jiménez Fuentes: Tucapel,34
Alvarez-Salamanca Ramírez: Pedro Pablo,Hasbún Selume: Gustavo,34
Coloma Alamos: Juan Antonio,Lavín León: Joaquín,34
Fernández Allende: Maya,Sepúlveda Orbenes: Alejandra,34
Norambuena Farías: Iván,Van Rysselberghe Herrera: Enrique,34
Araya Guerrero: Pedro,Harboe Bascuñán: Felipe,34
Núñez Arancibia: Daniel,Vallejo Dowling: Camila,34
Cariola Oliva: Karol,Fernández Allende: Maya,34
Kast Rist: José Antonio,Nogueira Fernández: Claudia,34
Alvarez-Salamanca Ramírez: Pedro Pablo,Sandoval Plaza: David,34
Andrade Lara: Osvaldo,Carmona Soto: Lautaro,33
Rubilar Barahona: Karla,Torres Jeldes: Víctor,33
Trisotti Martínez: Renzo,Urrutia Soto: Osvaldo,33
Hernández Hernández: Javier,Melero Abaroa: Patricio,33
Cariola Oliva: Karol,Carmona Soto: Lautaro,33
Berger Fett: Bernardo,Núñez Urrutia: Paulina,33
Macaya Danús: Javier,Silva Méndez: Ernesto,33
Flores García: Iván,Rincón González: Ricardo,33
Lavín León: Joaquín,Van Rysselberghe Herrera: Enrique,33
Hasbún Selume: Gustavo,Macaya Danús: Javier,33
Núñez Urrutia: Paulina,Rathgeb Schifferli: Jorge,33
Carvajal Ambiado: Loreto,Sepúlveda Orbenes: Alejandra,33
Turres Figueroa: Marisol,Ward Edwards: Felipe,33
Rathgeb Schifferli: Jorge,Verdugo Soto: Germán,33
Sandoval Plaza: David,Van Rysselberghe Herrera: Enrique,33
Aguiló Melo: Sergio,Carmona Soto: Lautaro,32
Arriagada Macaya: Claudio,Robles Pantoja: Alberto,32
Poblete Zapata: Roberto,Sepúlveda Orbenes: Alejandra,32
Lavín León: Joaquín,Norambuena Farías: Iván,32
Núñez Urrutia: Paulina,Verdugo Soto: Germán,32
Flores García: Iván,Fuentes Castillo: Iván,32
Arriagada Macaya: Claudio,Flores García: Iván,32
Hernández Hernández: Javier,Kort Garriga: Issa Farid,32
Saffirio Espinoza: René,Soto Ferrada: Leonardo,32
Carmona Soto: Lautaro,Vallespín López: Patricio,32
Pérez Lahsen: Leopoldo,Sandoval Plaza: David,32
Hernando Pérez: Marcela,Silber Romo: Gabriel,31
Melero Abaroa: Patricio,Nogueira Fernández: Claudia,31
Gahona Salazar: Sergio,Macaya Danús: Javier,31
Hoffmann Opazo: María José,Van Rysselberghe Herrera: Enrique,31
Nogueira Fernández: Claudia,Urrutia Soto: Osvaldo,31
Torres Jeldes: Víctor,Walker Prieto: Matías,31
Alvarado Ramírez: Miguel Ángel,Arriagada Macaya: Claudio,31
Araya Guerrero: Pedro,De Urresti Longton: Alfonso,31
Cariola Oliva: Karol,Gutiérrez Gálvez: Hugo,31
Kort Garriga: Issa Farid,Nogueira Fernández: Claudia,31
Alvarez-Salamanca Ramírez: Pedro Pablo,Ward Edwards: Felipe,31
Carmona Soto: Lautaro,Núñez Arancibia: Daniel,31
Alvarez-Salamanca Ramírez: Pedro Pablo,Urrutia Bonilla: Ignacio,31
