date,max_temp
2013-07-31,0.540202
2016-12-28,1.1877
2010-10-13,0.20946
2019-06-19,0.020446
2016-10-24,0.021047
2013-06-06,0.012573
2010-05-28,0.003307
2019-10-22,1.123985
2010-02-17,0.069737
2013-08-22,3.923377
2013-05-24,0.634266
2010-07-31,0.144659
2010-01-26,0.097737
2010-04-20,0.07273
2013-09-17,18.852058
2010-11-08,0.043637
2013-12-11,0.15446
2016-03-31,0.023962
2013-05-15,0.255171
2010-02-04,4.95258
2016-01-24,0.034583
2013-02-22,0.081172
2013-10-24,0.095127
2016-07-22,0.039993
2013-09-26,1.009283
2010-03-31,0.183657
2010-12-20,8.32618
2010-11-17,0.034963
2010-05-24,0.294046
2010-07-20,0.302969
2010-02-08,0.067936
2010-01-22,0.418583
2013-04-15,0.974546
2013-10-11,0.148285
2010-11-04,0.127137
2010-09-15,0.091172
2010-11-06,0.184083
2016-10-26,0.148914
2010-05-26,0.112145
2016-06-15,0.511428
2019-04-17,0.080986
2013-01-24,0.612094
2013-12-31,0.127519
2013-03-20,0.260324
2010-02-19,0.078499
2016-08-31,0.091935
2016-05-04,0.330217
2010-05-13,0.145721
2010-10-22,0.089617
2013-01-11,1.925107
2010-06-08,0.009772
2010-09-02,0.08933
2013-12-17,0.008199
2016-01-26,0.42626
2010-02-26,2.017647
2010-08-31,0.18434
2013-08-02,0.329457
2013-03-06,0.064416
2013-07-17,0.066254
2010-11-02,0.065555
2016-07-08,0.000273
2016-10-04,0.113868
2019-12-13,0.02268
2016-02-24,0.222413
2019-03-22,0.183947
2010-05-19,0.214583
2013-04-26,0.286139
2010-01-20,0.14157
2013-09-11,0.107082
2013-02-13,0.336146
2010-07-22,0.246899
2013-12-19,0.176705
2016-05-19,0.600892
2016-09-26,0.169662
2010-04-13,0.202944
2016-12-19,0.000913
2016-03-17,0.123992
2019-04-24,0.226998
2016-02-15,0.671918
2010-12-06,0.101637
2013-11-28,1.417991
2019-12-19,0.0093
2013-04-06,0.141965
2016-04-22,0.268958
2010-02-24,0.25593
2010-10-20,0.038615
2013-05-08,1.589285
2019-03-19,0.413977
2013-09-24,0.336511
2010-11-15,0.088002
2016-01-15,0.445591
2013-07-11,2.691874
2016-09-28,1.264998
2016-07-04,0.045899
2010-07-13,0.037711
2019-11-22,0.401654
2010-02-28,0.558577
2013-04-24,0.283484
2013-06-20,0.032442
2010-05-17,0.073855
2010-11-24,0.342772
2019-06-06,0.010737
2013-05-28,0.34284
2010-02-15,0.004469
2013-10-15,0.082952
2013-03-04,0.277122
2010-03-08,0.071163
2010-05-04,0.603306
2013-07-15,0.055543
2010-05-06,0.256927
2010-07-02,0.151618
2013-11-26,0.079579
2016-02-02,0.052625
2013-07-26,0.05381
2010-09-22,0.013842
2013-11-13,3.527864
2010-04-22,0.157227
2019-12-04,0.062964
2010-12-08,0.036799
2010-12-15,0.07491
2019-02-04,0.164447
2010-07-28,0.200663
2016-08-22,0.075774
2016-07-06,0.6746
2010-03-26,0.371365
2010-11-22,0.069064
2010-04-19,0.176753
2013-05-31,0.33145
2010-07-15,0.020662
2010-06-22,0.459645
2013-08-08,0.061541
2013-04-19,0.042282
2010-02-20,0.001598
2010-04-06,0.228042
2013-03-13,0.065442
2010-12-02,0.809182
2016-04-19,0.266332
2010-03-15,0.173054
2010-11-11,0.169085
2010-05-31,0.778975
2013-08-13,0.075147
2013-07-04,0.052573
2016-05-17,0.113951
2013-08-20,0.107952
2010-08-19,0.13884
2016-01-22,0.004722
2016-06-24,0.107801
2019-05-08,0.022028
2013-08-19,0.678571
2013-04-17,0.047941
2010-12-13,0.073454
2010-03-02,0.085036
2016-04-15,0.030688
2013-08-06,0.121992
2010-02-11,0.015626
2010-01-08,0.049005
2010-03-04,0.078574
2016-06-06,0.066054
2013-04-04,0.345997
2016-09-15,0.010913
2013-03-28,0.223838
2013-10-22,0.017299
2010-12-17,0.005561
2013-12-06,0.047354
2010-06-24,0.649409
2013-09-02,0.013848
2016-02-17,0.267929
2013-03-26,0.00485
2013-02-08,0.75798
2019-03-08,0.090923
2010-10-08,0.08617
2013-12-04,0.058315
2019-05-20,0.141548
2010-04-28,0.432254
2016-11-02,0.004202
2016-02-04,0.106132
2010-02-22,1.802612
2010-07-19,0.37016
2016-10-13,0.220078
2010-12-28,1.345969
2013-07-22,0.179367
2010-04-15,2.501541
2010-03-17,0.13356
2010-06-11,0.198857
2013-07-19,0.191403
2019-11-20,0.199957
2010-07-06,0.130475
2013-06-04,0.248978
2016-11-17,0.020494
2010-08-04,0.049933
2010-06-15,0.405041
2010-07-08,1.120075
2016-06-08,0.280952
2019-04-22,0.171782
2013-05-22,0.075282
2010-10-19,0.014609
2019-02-15,0.768686
2016-12-22,0.098865
2016-08-08,0.198297
2013-01-17,0.46704
2010-10-06,0.245213
2010-09-08,0.23291
2010-06-02,0.322171
2013-11-15,0.362881
2010-05-11,1.579306
2019-03-06,0.075821
2010-08-02,0.546834
2010-01-19,0.393808
2016-07-28,0.122072
2010-03-22,0.472916
2019-12-24,0.008018
2016-01-19,0.242703
2013-06-11,0.120879
2016-12-20,0.10861
2013-10-17,5.855121
2010-01-06,0.976994
2013-06-13,0.132332
2016-07-20,0.198896
2013-02-15,0.530461
2013-07-02,0.03216
2010-08-26,0.169462
2013-05-13,0.053947
2013-01-28,0.124729
2013-01-08,0.118119
2010-10-04,0.005571
2013-09-06,0.103144
2016-08-24,0.028718
2016-09-22,0.070332
2013-04-22,1.144637
2010-01-15,0.115977
2013-06-17,0.160302
2013-02-04,0.118825
2013-03-11,0.092085
2016-03-24,0.187967
2010-08-13,0.152657
2013-12-24,0.013994
2019-02-08,0.013059
2010-04-08,0.015103
2010-06-04,0.066883
2016-05-11,0.100294
2019-02-13,0.049334
2016-10-28,0.053059
2013-10-08,0.206426
2010-01-04,0.003743
2013-11-22,0.034839
2019-06-28,0.012367
2013-02-20,0.002801
2013-11-06,0.023898
2010-08-24,0.028989
2010-10-15,0.468391
2013-11-04,0.550604
2010-12-11,0.338814
2010-03-24,0.945292
2010-05-20,0.345369
2013-05-17,0.475491
2016-03-28,0.002117
2011-06-29,0.739444
2014-11-14,0.248965
2014-08-05,0.005195
2014-10-23,0.025186
2011-11-16,0.340517
2011-12-09,0.024197
2014-07-09,0.072166
2017-02-27,0.036227
2014-01-07,0.01695
2011-11-03,0.024936
2014-12-23,2.816668
2014-04-30,0.039359
2011-06-16,0.005054
2011-05-23,0.000651
2014-04-29,0.125233
2014-08-18,0.050691
2011-05-25,0.042029
2014-12-09,1.680858
2017-04-21,0.094089
2011-02-14,0.478356
2011-09-14,0.089785
2011-03-09,0.026045
2017-06-29,0.688172
2011-06-03,0.51527
2011-11-05,0.899324
2011-05-12,0.047624
2011-02-01,0.064595
2011-01-10,0.034367
2014-07-18,0.102446
2011-09-01,0.465924
2017-07-10,0.00096
2014-09-23,0.004932
2011-08-30,0.006461
2011-10-21,0.017691
2011-06-07,0.054447
2011-11-14,3.52908
2014-02-05,0.065263
2014-09-10,0.359224
2017-06-01,0.011702
2017-04-18,0.420302
2011-09-12,0.020702
2011-11-29,0.57038
2011-02-16,0.047458
2011-05-10,0.048886
2014-04-09,0.097563
2014-11-18,0.352111
2014-06-05,0.109385
2014-04-21,0.151734
2014-11-27,0.021606
2011-02-03,0.002593
2014-07-30,0.025893
2017-07-14,0.081645
2011-12-29,9.869461
2017-06-16,0.002072
2014-09-05,0.005157
2014-04-23,0.03976
2011-05-16,0.049225
2017-02-10,0.973093
2011-06-09,0.054665
2011-03-03,0.003202
2017-12-27,0.022403
2017-11-29,0.083728
2014-04-10,0.012738
2014-10-30,0.237188
2014-03-27,0.360801
2011-12-16,9.933465
2011-11-23,0.042769
2017-02-07,0.305916
2011-03-29,0.002762
2014-11-25,1.396646
