Nombre,Direccion,Comuna,Horarios,Latitud,Longitud
INCA DE ORO 2,"Inca de Oro, entre Cuatro Poniente y La Galxia",Maipú,Ju y Do,-33.5123495,-70.7907619
FERROCARRIL,"Ferrocarril, entre Domingo Faustino Sarmiento y Cerro Barón",Maipú,Ju y Do,-33.5402897,-70.7770195
ESQUINA BLANCA,"Ferrocarril, entre Esquina Blanca e Irarrázaval",Maipú,"Ju y Do, como complemento de la cerrillana Feria de Villa México.",-33.4538736,-70.6015986
GUILLERMO MANN,"Guillermo Mann, entre Pedro de Valdivia y Marathón",Ñuñoa,Ma y Vi,-33.4677696,-70.6139162
MATTA ORIENTE,"Matta Oriente, entre Irarrázaval y Lo Encalada",Ñuñoa,Mi y Sá,-33.4522465,-70.625416
SAN EUGENIO,"San Eugenio, entre Carlos Dittborn y Guillermo Mann",Ñuñoa,Sá,-33.4669066,-70.6235847
LOS ALERCES,"Capitán Ignacio Carrera Pinto, entre Juan Moya y Los Alerces",Ñuñoa,Mi,-33.4712387,-70.6056339
ORTÚZAR,"Ortúzar, entre Simón Bolívar y Estrella Solitaria",Ñuñoa,Do,-33.4484151,-70.5835687
LOS AROMOS,"Juan Gómez Millas, entre Pedro de Valdivia y Los Tres Antonios",Ñuñoa,Sá,-33.4613934,-70.6060657
EMILIA TÉLLEZ,"Emilia Téllez, entre Coventry y Bremen",Ñuñoa,Mi y Sá,-33.4416472,-70.581577
DUBLÉ ALMEYDA,"Dublé Almeyda, entre Lo Plaza y Ramón Cruz",Ñuñoa,Vi,-33.4588999,-70.5825877
MARÍA CELESTE,Av,Ñuñoa,"Grecia, entre Américo Vespucio y Ramón Cruz. Vi y Do",-33.460996,-70.6231062
GRECIA MODELO,"Nueva Dos, entre Marathón y Francisco Meneses",Ñuñoa,Ju y Do,-33.4677023,-70.6139305
CENTRO AMÉRICA,"Centro América, entre Av",Pedro Aguirre Cerda,Central y Haití. Ju y Do,-33.4939032,-70.6845173
FÉLIX MENDELSSOHN,"Félix Mendelssohn, entre Lazo y La Marina",Pedro Aguirre Cerda,Mi y Sá,-33.494414,-70.6731805
ENRIQUE MATTE,"Enrique Matte, entre Club Hípico y La Marina",Pedro Aguirre Cerda,Mi y Sá,-33.4824573,-70.6647901
PASEO GROHNERT,"Paseo Grohnert, entre Dpartamental y Bombero Ossandón",Pedro Aguirre Cerda,Ju y Do,-33.4975127,-70.6801139
DOS DE ABRIL,"Dos de Abril, entre Ernesto Molina y Primero de Mayo",Pedro Aguirre Cerda,Ma y Vi,-33.4865307,-70.6797246
30 DE OCTUBRE,"Galo González, entre 30 de Octubre y Carlos Marx",Pedro Aguirre Cerda,Mi y Sá,-33.48558,-70.6764154
DÁVILA,"Manuela Errázuriz, entre Melinka y Pirihueico",Pedro Aguirre Cerda,Mi y Sá,-33.5060515,-70.6760863
DEPARTAMENTAL,"Departamental, entre Los Clarines y Los Cerezos",Peñalolén,Ju y Do,-33.5039763,-70.5743458
LOS PRESIDENTES,"Caracas, entre Los Presidentes y Bolívar",Peñalolén,Mi y Sá,-33.4719116,-70.5627854
ICTINOS,"Ictinos, entre Oriental y Grecia",Peñalolén,Sá,-33.4666899,-70.5607965
JUAN PABLO II,"El Valle, entre Consistorial y Frontera",Peñalolén,Ma y Vi,-33.4834809,-70.5467306
JOSÉ ARRIETA,"José Arrieta, entre Tobalaba y Diego Rojas",Peñalolén,Ju y Do,-33.4637789,-70.5566258
EL PARRAL,"El Valle, entre Afluente y El Litoral",Peñalolén,Ju,-33.4773148,-70.5681284
LOS MOLINEROS,"Los Molineros, entre Grecia y Laura Rodríguez",Peñalolén,Mi y Sá,-33.4707233,-70.5687509
LAS TORRES,"Calle 465, entre Los Cerezos y Los Mares",Peñalolén,Sá,-33.5052906,-70.5768471
SAN LUIS DE MACUL,"Tucapel, entre Los Talladores y Los Arrieros",Peñalolén,Mi,-33.5055257,-70.5668718
